datetime,machine_id,comp
2024-01-01 16:00:00,5,comp4
2024-01-02 14:00:00,8,comp4
2024-01-02 14:00:00,4,comp3
2024-01-03 09:00:00,6,comp1
2024-01-03 14:00:00,10,comp1
2024-01-06 09:00:00,7,comp1
2024-01-10 11:00:00,10,comp4
2024-01-11 10:00:00,8,comp3
2024-01-17 16:00:00,2,comp1
2024-01-18 08:00:00,1,comp1
2024-01-19 11:00:00,3,comp2
2024-01-19 16:00:00,3,comp3
2024-01-20 12:00:00,9,comp1
2024-01-22 09:00:00,3,comp1
2024-01-26 13:00:00,6,comp4
2024-01-26 15:00:00,1,comp3
2024-01-26 16:00:00,4,comp1
2024-01-30 09:00:00,10,comp3
